candidate,day,tweet_count,retweet_count,like_count,reply_count
melenchon,2022-02-18,154,14969,41426,2582
melenchon,2022-02-19,91,10708,27993,1784
melenchon,2022-02-20,207,26214,79645,7861
melenchon,2022-02-21,162,21731,66751,5183
melenchon,2022-02-22,235,27710,74825,6663
melenchon,2022-02-23,151,21615,66221,5271
melenchon,2022-02-24,296,33734,105614,8836
melenchon,2022-02-25,235,24070,70968,7563
melenchon,2022-02-26,289,29808,74078,6939
melenchon,2022-02-27,129,17683,40345,1926
melenchon,2022-02-28,151,20971,55702,3803
melenchon,2022-03-01,257,46056,169888,7340
melenchon,2022-03-02,210,33859,88369,6978
melenchon,2022-03-03,142,19237,51094,3163
melenchon,2022-03-04,120,13847,35042,2428
melenchon,2022-03-05,156,21059,62090,6061
melenchon,2022-03-06,320,49916,139584,10775
melenchon,2022-03-07,198,26748,78549,6518
melenchon,2022-03-08,176,23703,73037,4169
melenchon,2022-03-09,184,25755,75134,6557
melenchon,2022-03-10,198,30662,85426,6338
melenchon,2022-03-11,153,23858,64695,6825
melenchon,2022-03-12,257,34613,88899,4923
melenchon,2022-03-13,139,19424,57174,3545
pecresse,2022-01-03,198,15919,47520,9359
pecresse,2022-01-04,356,25403,74810,11068
pecresse,2022-01-05,196,14868,46495,15343
pecresse,2022-01-06,316,21962,61212,16927
pecresse,2022-01-07,128,7286,19300,3306
pecresse,2022-01-08,133,9005,26466,6383
pecresse,2022-01-09,275,21118,68905,12493
pecresse,2022-01-10,194,12327,32098,7228
pecresse,2022-01-11,178,11725,27327,6119
pecresse,2022-01-12,168,9398,24743,6128
pecresse,2022-01-13,209,19239,43139,9384
pecresse,2022-01-14,129,9712,24654,4894
pecresse,2022-01-15,190,14521,40829,7778
pecresse,2022-01-16,122,4940,12980,2806
pecresse,2022-01-17,173,11145,28639,8259
pecresse,2022-01-18,455,24756,70516,15818
pecresse,2022-01-19,188,13612,35819,6538
pecresse,2022-01-20,163,8066,19980,6237
pecresse,2022-01-21,222,16004,37883,9078
pecresse,2022-01-22,195,8867,25422,5699
pecresse,2022-01-23,219,14915,39478,8654
pecresse,2022-01-24,154,8187,21886,7122
pecresse,2022-01-25,160,9578,21384,5084
pecresse,2022-01-26,162,8439,21513,4940
pecresse,2022-01-27,137,8048,19595,4498
pecresse,2022-01-28,214,10761,34536,12496
pecresse,2022-01-29,157,7928,23030,5323
pecresse,2022-01-30,194,9634,26250,7193
pecresse,2022-01-31,286,13026,35734,15327
pecresse,2022-02-01,176,10480,26960,5478
pecresse,2022-02-02,228,19305,48704,10653
pecresse,2022-02-03,184,11925,29680,8730
pecresse,2022-02-04,179,9462,24550,8835
pecresse,2022-02-05,160,8413,22845,8003
pecresse,2022-02-06,197,12592,34707,7734
pecresse,2022-02-07,162,8621,22949,4999
pecresse,2022-02-08,169,9777,26472,11014
pecresse,2022-02-09,159,7880,22992,7876
pecresse,2022-02-10,153,10566,31889,6084
pecresse,2022-02-11,127,6926,18148,7578
pecresse,2022-02-12,132,5816,14838,4297
pecresse,2022-02-13,629,49825,155404,36085
pecresse,2022-02-14,302,17577,52536,19711
pecresse,2022-02-15,235,16215,44284,13122
pecresse,2022-02-16,202,14423,40744,13697
pecresse,2022-02-17,243,14579,35784,9101
pecresse,2022-02-18,333,18966,50552,16974
pecresse,2022-02-19,208,10669,35142,6405
pecresse,2022-02-20,168,10132,23954,4401
pecresse,2022-02-21,144,7853,18684,5256
pecresse,2022-02-22,231,17683,40220,9185
pecresse,2022-02-23,464,36909,105802,19715
pecresse,2022-02-24,230,18885,47957,11670
pecresse,2022-02-25,116,7782,21744,8084
pecresse,2022-02-26,206,11266,27528,8941
pecresse,2022-02-27,142,9401,39909,7870
pecresse,2022-02-28,219,13617,41281,10952
pecresse,2022-03-01,97,5510,15325,4530
pecresse,2022-03-02,120,7347,21135,5456
pecresse,2022-03-03,289,11301,22310,7249
pecresse,2022-03-04,246,14627,35905,11408
pecresse,2022-03-05,169,8579,25224,6954
pecresse,2022-03-06,86,4499,12536,2695
pecresse,2022-03-07,126,6749,16136,5818
pecresse,2022-03-08,121,9222,25116,4750
pecresse,2022-03-09,153,11548,28302,7388
pecresse,2022-03-10,551,38938,94600,30837
pecresse,2022-03-11,332,20827,53955,17189
pecresse,2022-03-12,126,7334,21758,5729
pecresse,2022-03-13,209,9704,22065,8510
poutou,2022-01-03,1,449,3417,134
poutou,2022-01-05,2,4209,18435,542
poutou,2022-01-06,2,80,98,32
poutou,2022-01-07,3,270,866,26
poutou,2022-01-08,1,15,45,4
poutou,2022-01-09,1,92,298,12
poutou,2022-01-10,2,152,600,31
poutou,2022-01-11,6,956,3895,102
poutou,2022-01-12,3,201,936,46
poutou,2022-01-13,6,1221,5992,139
poutou,2022-01-14,5,646,2160,77
poutou,2022-01-15,3,84,166,10
poutou,2022-01-16,2,135,311,3
poutou,2022-01-17,5,1363,8220,164
poutou,2022-01-18,3,144,731,41
poutou,2022-01-19,2,366,1320,59
poutou,2022-01-20,4,183,1120,54
poutou,2022-01-21,1,15,48,11
poutou,2022-01-22,15,1373,6232,332
poutou,2022-01-23,24,13373,55257,1083
poutou,2022-01-24,8,1230,5412,110
poutou,2022-01-25,8,901,5243,48
poutou,2022-01-26,9,593,1910,39
poutou,2022-01-27,5,377,1342,24
poutou,2022-01-28,1,185,939,19
poutou,2022-01-29,4,321,1320,77
poutou,2022-01-30,4,2521,16688,411
poutou,2022-01-31,4,1100,4656,141
poutou,2022-02-01,8,1211,5665,114
poutou,2022-02-03,3,1809,7302,164
poutou,2022-02-04,1,20,76,4
poutou,2022-02-05,2,170,1050,38
poutou,2022-02-06,3,338,1521,72
poutou,2022-02-07,5,1244,6661,180
poutou,2022-02-08,26,13232,60370,714
poutou,2022-02-09,11,3277,11986,143
poutou,2022-02-10,9,2155,15260,226
poutou,2022-02-11,13,1719,8223,447
poutou,2022-02-12,6,418,1315,42
poutou,2022-02-13,1,302,874,24
poutou,2022-02-14,2,117,742,20
poutou,2022-02-15,5,1270,3734,103
poutou,2022-02-16,1,4340,19030,360
poutou,2022-02-17,7,2578,8849,192
poutou,2022-02-18,2,208,1475,48
poutou,2022-02-19,1,54,102,7
poutou,2022-02-20,18,3503,11432,322
poutou,2022-02-21,6,1028,4454,85
poutou,2022-02-22,13,689,2187,134
poutou,2022-02-23,5,1304,3437,107
poutou,2022-02-24,11,1666,7783,377
poutou,2022-02-25,11,1822,5777,110
poutou,2022-02-26,4,331,3109,62
poutou,2022-02-27,6,1416,4855,86
poutou,2022-02-28,10,3043,13838,278
poutou,2022-03-01,33,4703,23632,542
poutou,2022-03-02,13,6626,25805,530
poutou,2022-03-03,12,9122,43867,1254
poutou,2022-03-04,6,434,2943,87
poutou,2022-03-05,1,27,46,4
poutou,2022-03-06,3,108,319,33
poutou,2022-03-07,31,6263,23772,866
poutou,2022-03-08,16,4878,19953,756
poutou,2022-03-09,12,3018,14462,184
poutou,2022-03-10,7,1397,7215,302
poutou,2022-03-11,31,13498,51318,1256
poutou,2022-03-12,20,2109,8624,243
poutou,2022-03-13,22,6657,24133,652
roussel,2022-01-03,41,2339,7904,827
roussel,2022-01-04,21,1855,4953,459
roussel,2022-01-05,27,1383,6090,224
roussel,2022-01-06,47,2637,11159,1102
roussel,2022-01-07,54,3839,13989,675
roussel,2022-01-08,25,1327,3760,189
roussel,2022-01-09,131,8502,51295,5178
roussel,2022-01-10,61,4605,20975,1455
roussel,2022-01-11,63,4608,25980,2474
roussel,2022-01-12,60,4252,19709,1589
roussel,2022-01-13,40,2110,7082,439
roussel,2022-01-14,49,2933,11475,963
roussel,2022-01-15,37,1833,7671,1030
roussel,2022-01-16,27,2120,16005,1258
roussel,2022-01-17,106,9612,58415,4181
