candidate,day,tweet_count,retweet_count,like_count,reply_count
le_pen,2022-03-06,11,2333,5617,893
le_pen,2022-03-07,27,6334,16790,1627
le_pen,2022-03-08,25,5483,14666,1939
le_pen,2022-03-09,37,7033,17962,1587
le_pen,2022-03-10,27,7371,22126,3005
le_pen,2022-03-11,57,11122,32860,4200
le_pen,2022-03-12,19,4657,12881,1274
le_pen,2022-03-13,32,7388,19779,2455
melenchon,2022-01-03,57,24956,78514,7245
melenchon,2022-01-04,32,17317,59116,4631
melenchon,2022-01-05,21,11288,38088,2342
melenchon,2022-01-06,18,4995,14239,1002
melenchon,2022-01-07,18,6167,15633,1571
melenchon,2022-01-08,17,6980,17271,1360
melenchon,2022-01-09,58,20077,62839,4627
melenchon,2022-01-10,30,9648,23939,2919
melenchon,2022-01-11,26,11195,33420,3374
melenchon,2022-01-12,16,7636,23039,1788
melenchon,2022-01-13,43,16651,47605,2980
melenchon,2022-01-14,13,5823,17567,1405
melenchon,2022-01-15,12,4732,11567,1284
melenchon,2022-01-16,67,25182,75152,5436
melenchon,2022-01-17,27,8940,24987,2035
melenchon,2022-01-18,20,7216,16763,1092
melenchon,2022-01-19,28,7981,21430,1529
melenchon,2022-01-20,19,6680,17580,1726
melenchon,2022-01-21,34,10448,29701,2237
melenchon,2022-01-22,21,5075,13923,809
melenchon,2022-01-23,23,5370,15160,1814
melenchon,2022-01-24,47,14908,45615,3908
melenchon,2022-01-25,22,7063,18795,1738
melenchon,2022-01-26,19,7171,20058,1293
melenchon,2022-01-27,76,34219,114240,15798
melenchon,2022-01-28,51,19140,60943,8250
melenchon,2022-01-29,31,11817,37255,2766
melenchon,2022-01-30,49,15718,48517,3828
melenchon,2022-01-31,21,10932,29465,1930
melenchon,2022-02-01,37,15137,44328,4694
melenchon,2022-02-02,34,13817,43250,3043
melenchon,2022-02-03,42,13352,34592,2714
melenchon,2022-02-04,20,5642,15441,1194
melenchon,2022-02-05,25,6727,18444,942
melenchon,2022-02-06,42,14923,43384,3890
melenchon,2022-02-07,21,7497,29247,1272
melenchon,2022-02-08,21,7351,17582,1740
melenchon,2022-02-09,20,6258,15838,1164
melenchon,2022-02-10,84,32848,105427,6580
melenchon,2022-02-11,33,12951,39018,2052
melenchon,2022-02-12,37,11361,34099,1821
melenchon,2022-02-13,63,24095,66607,3894
melenchon,2022-02-14,31,12429,34244,2132
